IDX,R,G,B,A,VIS,MSH,LABEL
0,0,0,0,0,0,0,Clear_Label
1,255,0,0,1,1,1,CA1
2,0,255,0,1,1,1,CA2
3,0,0,255,1,1,1,DG
4,255,255,0,1,1,1,CA3
5,0,255,255,1,1,1,head
6,166,193,255,1,1,1,tail
7,231,66,0,1,1,1,MISC
8,240,86,224,1,1,1,subiculum
9,70,226,119,1,1,1,ERC_ashs
11,55,180,255,1,1,1,35_ashs
12,0,0,255,1,1,1,36_ashs
13,243,135,70,1,1,1,CS
14,0,100,0,1,1,1,PRC_L
15,70,170,70,1,1,1,PRC_R
16,70,162,159,1,1,1,aPHC_L
17,144,238,144,1,1,1,aPHC_R
18,235,190,131,1,1,1,pPHC_L
19,144,139,24,1,1,1,pPHC_R
20,255,60,7,1,1,1,Boundaries
21,106,90,205,1,1,1,alEC_L
22,221,160,221,1,1,1,alEC_R
23,233,150,122,1,1,1,pmEC_L
24,165,42,42,1,1,1,pmEC_R
